title,score,developer,publisher
Scooby-Doo,6.4,Helixe,THQ
Spy Hunter,6.4,Paradigm Entertainment,Midway
Tony Hawk's American Sk8land,6.4,Vicarious Visions,Activision
Altered Beast: Guardian of the Realms,6.3,3d6 Games,THQ
Batman: Rise of Sin Tzu,6.3,Ubisoft Montreal,Ubisoft
Butt Ugly Martians: B.K.M. Battles,6.3,Runecraft,VU Games
Digimon Battle Spirit 2,6.3,Dimps Corporation,Bandai
DreamWorks Shark Tale (2004),6.3,Vicarious Visions,Activision
Gumby vs. the Astrobots,6.3,Torus Games,Namco
Mega Man Battle Network 6: Cybeast Falzar,6.3,Capcom,Capcom
Rocky (2002),6.3,Rage Software,Ubisoft
Sabrina the Teenage Witch: Potion Commotion,6.3,Ubisoft,Ubisoft
Samurai Jack: The Amulet of Time,6.3,Virtucraft,Bam Entertainment
SSX 3,6.3,EA Canada,EA Sports Big
The Great Circus Mystery Starring Mickey & Minnie,6.3,Klein Computer Entertainment,Capcom
Ty the Tasmanian Tiger 2: Bush Rescue,6.3,Krome Studios,EA Games
Atomic Betty,6.2,Big Blue Bubble Inc.,Namco
Battle B-Daman,6.2,Atlus,Atlus
Bookworm (2004),6.2,PopCap,Majesco
DemiKids: Light Version,6.2,Multimedia Intelligence Transfer,Atlus
Digimon Racing,6.2,Griptonite Games,Bandai
Disney Sports: Football,6.2,KCEO,Konami
Disney's Kim Possible: Revenge of Monkey Fist,6.2,Digital Eclipse,Disney Interactive
Dragon Ball Z: Buu's Fury,6.2,Webfoot Technologies,Atari SA
Dragon Ball Z: Collectible Card Game,6.2,ImaginEngine,Infogrames
DreamWorks Over the Hedge: Hammy Goes Nuts (2006),6.2,Vicarious Visions,Activision
High Heat Major League Baseball 2002,6.2,3DO,3DO
Lego Knights' Kingdom,6.2,Razorback Developments,THQ
Mario Pinball Land,6.2,Fuse Games Limited,Nintendo
Mega Man Battle Network 6: Cybeast Gregar,6.2,Capcom,Capcom
Mr. Driller 2,6.2,Namco,Namco
Need for Speed: Porsche Unleashed,6.2,Eden Studios,Electronic Arts
SimCity 2000,6.2,Full Fat,Destination Software
Spy Kids 3-D: Game Over,6.2,Digital Eclipse,Disney Interactive
The Tower SP,6.2,Vivarium,Sega
Ultimate Spider-Man (2005),6.2,Vicarious Visions,Activision
Uno Free Fall,6.2,Black Lantern Studios,DSI Games
WWF Road to WrestleMania,6.2,Natsume,THQ
Batman Begins (2005),6.1,Vicarious Visions,EA Games
Bubble Bobble: Old & New,6.1,Taito Corporation,Empire Interactive
Catwoman (2004),6.1,Argonaut Games,EA Games
Dual Blades,6.1,Vivid Image,Metro3D
Pinobee: Wings of Adventure,6.1,Artoon,Activision
Rayman: Hoodlum's Revenge,6.1,Backbone Entertainment,Ubisoft
Reign of Fire,6.1,Kuju Entertainment,Bam Entertainment
Robotech: The Macross Saga,6.1,Lucky Chicken,TDK Mediactive
Teen Titans,6.1,Artificial Mind and Movement,THQ
Ultimate Winter Games,6.1,Sproing,Telegames
X-Men: Reign of Apocalypse,6.1,Digital Eclipse,Activision
Yu-Gi-Oh! Reshef of Destruction,6.1,Konami,Konami
"Crouching Tiger, Hidden Dragon (2003)",6.0,Ubisoft Shanghai,Ubisoft
Digimon Battle Spirit,6.0,Dimps Corporation,Bandai
Medabots AX: Metabee Ver.,6.0,Natsume,Natsume
Namco Museum 50th Anniversary,6.0,Backbone Vancouver,Namco
Naruto: Ninja Council,6.0,Arc System Works,D3Publisher
Sega Smash Pack,6.0,CodeFire,THQ
Spyro Orange: The Cortex Conspiracy,6.0,Vicarious Visions,VU Games
Star Wars: The New Droid Army,6.0,Helixe,THQ
Star Wars Trilogy: Apprentice of the Force,6.0,Ubisoft,Ubisoft
Star X,6.0,Graphic State,Bam Entertainment
Super Collapse II,6.0,GameHouse,Majesco
The Powerpuff Girls: Mojo Jojo A-Go-Go,6.0,Sennari Interactive,Bam Entertainment
Walt Disney's The Jungle Book,6.0,Visual Impact,Ubisoft
Yoshi Topsy-Turvy,6.0,Artoon,Nintendo
Yu-Gi-Oh! The Sacred Cards,6.0,Konami,Konami
Davis Cup Tennis,5.9,Hokus Pokus,Ubisoft
Disney Sports: Snowboarding,5.9,Konami,Konami
Disney's Aladdin (1993),5.9,Disney Interactive Studios,Capcom
Frogger's Journey: The Forgotten Relic,5.9,Konami Computer Entertainment Hawaii,Konami
Kong: The 8th Wonder of the World,5.9,Ubisoft,Ubisoft
Lizzie McGuire 3: Homecoming Havoc,5.9,Climax Studios,Buena Vista Interactive
Sega Rally Championship,5.9,Dice,Sega
"Shonen Jump's Shaman King: Legacy of the Spirits, Soaring Hawk",5.9,KCEJ,Konami
Stuart Little 2,5.9,Creations,Activision
Disney's Magical Quest 3 Starring Mickey & Donald,5.8,Klein Computer Entertainment,Capcom
Hugo: The Evil Mirror,5.8,ITE Media,Namco
Metroid,5.8,Nintendo,Nintendo
Monster Jam: Maximum Destruction,5.8,Ubisoft,Ubisoft
