title,score,developer,publisher
Hero's Saga Laevatein Tactics,,GungHo,Aksys Games
Harvest Moon DS: Island of Happiness,,TOSE,Natsume
Hands On! Tangrams,,Island Officials,Storm City Games
Guitar Hero On Tour: Modern Hits,,Activision,Activision
Go! Go! Kokopolo,,Tanukii Studios,Room 4 Games Limited
Glory Days: Tactical Defense,,odenis studio,odenis studio
Globulos Party,,GlobZ,GlobZ
Fullmetal Alchemist: Trading Card Game,,Magellan Interactive,Destineer
From the Abyss,,Sonic Powered,Aksys Games
Freedom Wings,,Beluga Computer,Natsume
Foto Frenzy: Spot the Difference,,Sanuk Games,Storm City Games
Fossil League: Dino Tournament Championship,,MTO,D3Publisher
Flipper Critters,,Zen Studios,Ignition Entertainment
Flipper (2010),,Goodbye Galaxy Games,Xform
