title,score,developer,publisher,rom_name,size
Sakura Samurai: Art of the Sword,7.4,Grounding Inc.,Nintendo,,
Shin Megami Tensei: Devil Summoner - Soul Hackers,7.4,Atlus,Atlus,Shin Megami Tensei - Devil Summoner - Soul Hackers (USA).3ds,2147483648
Tetris Axis,7.4,Hudson Soft,Nintendo,"Tetris Axis (USA) (En,Fr,Es).3ds",268435456
Thunder Blade,7.4,M2,Sega,,
Toy Stunt Bike,7.4,Wobbly Tooth Ltd,Wobbly Tooth Ltd,,
Ultimate NES Remix,7.4,indieszero,Nintendo,"Ultimate NES Remix (USA) (En,Fr,Es).3ds",268435456
80's Overdrive,7.3,Insane Code,Insane Code,,
1001 Spikes,7.3,Nicalis,Nicalis,,
Aero Porter,7.3,Vivarium,Level 5,,
Bike Rider DX,7.3,Lireneosoft,Spicysoft Corp.,,
Castlevania: Lords of Shadow - Mirror of Fate,7.3,Mercury Steam,Konami,"Castlevania - Lords of Shadow - Mirror of Fate (USA) (En,Fr,Es).3ds",2147483648
Chicken Wiggle,7.3,Atooi LLC,Atooi LLC,,
Disney Magical World 2,7.3,h.a.n.d. Inc.,Nintendo,Disney Magical World 2 (USA).3ds,2147483648
"Freakyforms Deluxe: Your Creations, Alive!",7.3,Asobism,Nintendo,"Freakyforms Deluxe - Your Creations, Alive! (USA) (En,Fr,Es).3ds",134217728
Heroes of Ruin,7.3,n-Space,Square Enix,"Heroes of Ruin (USA) (En,Fr,Es).3ds",536870912
LEGO The Lord of the Rings,7.3,TT Games,Warner Bros. Interactive Entertainment,"LEGO The Lord of the Rings (USA) (En,Fr,Es,Pt).3ds",536870912
Michael Jackson The Experience,7.3,Ubisoft Montpellier,Ubisoft,"Michael Jackson - The Experience 3D (USA) (En,Fr,Es).3ds",536870912
Picross e2,7.3,Jupiter Corporation,Jupiter Corporation,Project Cross Zone 2 (Korea).3ds,1073741824
Pokemon Battle Trozei,7.3,Genius Sonority Inc.,Nintendo,,
Pro Evolution Soccer 2011,7.3,Konami,Konami,"Pro Evolution Soccer 2013 3D (USA) (En,Fr,Es,Pt).3ds",1073741824
Shinobi (2011),7.3,Griptonite Games,Sega,Shinobi 3D (Japan).3ds,536870912
Super Mario Maker,7.3,Nintendo,Nintendo,"Super Mario Maker for Nintendo 3DS (USA) (En,Fr,Es) (Rev 3).3ds",536870912
Terraria,7.3,Engine Software,505 Games,Terraria (USA) (Rev 1).3ds,134217728
The Legend of Zelda: Tri Force Heroes,7.3,Nintendo,Nintendo,"Legend of Zelda, The - Tri Force Heroes (USA) (En,Fr,Es).3ds",1073741824
Witch & Hero,7.3,FK Digital,CIRCLE Entertainment,,
Xeodrifter,7.3,Renegade Kid,Renegade Kid,,
Yo-kai Watch Blasters: Red Cat Corps,7.3,Level 5,Nintendo,Yo-Kai Watch Blasters - Red Cat Corps (USA).3ds,2147483648
Yo-kai Watch Blasters: White Dog Squad,7.3,Level 5,Nintendo,Yo-Kai Watch Blasters - White Dog Squad (USA).3ds,2147483648
Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!!,7.2,WayForward,D3Publisher,Adventure Time - Hey Ice King! Why'd You Steal Our Garbage!! (USA) (Rev 1).3ds,134217728
Brain Age: Concentration Training,7.2,Nintendo,Nintendo,"Brain Age - Concentration Training (USA) (En,Fr,Es).3ds",536870912
Disney Art Academy,7.2,Headstrong Games,Nintendo,Disney Art Academy (USA).3ds,536870912
Kirby's Blowout Blast,7.2,HAL Labs,Nintendo,,
Layton's Mystery Journey: Katrielle and The Millionaires' Conspiracy,7.2,h.a.n.d. Inc.,Level 5,"Layton's Mystery Journey - Katrielle and the Millionaires' Conspiracy (USA) (En,Fr,Es).3ds",1073741824
LEGO Batman 2: DC Super Heroes,7.2,TT Games,Warner Bros. Interactive Entertainment,"LEGO Batman 2 - DC Super Heroes (USA) (En,Fr,Es,Pt).3ds",536870912
